Item Description,Mnemonic,Field Size,Data Group,Data Type,Item Number
Global Company Key - Company Annual Descriptor,GVKEY,6,co_adesind,VARCHAR2,
Data Date - Company Annual Descriptor,DATADATE,8,co_adesind,DATE,
Industry Format,INDFMT,12,co_adesind,VARCHAR2,
Data Format - Company Annual Descriptor,DATAFMT,12,co_adesind,VARCHAR2,
Level of Consolidation - Company Annual Descriptor,CONSOL,1,co_adesind,VARCHAR2,
Population Source,POPSRC,1,co_adesind,VARCHAR2,
Global Company Annual Key - Company Annual Fundamentals,GVKEY,6,co_afnd1/co_afnd2,VARCHAR2,
Data Date - Company Annual Fundamentals,DATADATE,8,co_afnd1/co_afnd2,DATE,
Industry Format - Company Annual Fundamentals,INDFMT,12,co_afnd1/co_afnd2,VARCHAR2,
Data Format - Company Annual Fundamentals,DATAFMT,12,co_afnd1/co_afnd2,VARCHAR2,
Level of Consolidation - Company Annual Fundamentals,CONSOL,1,co_afnd1/co_afnd2,VARCHAR2,
Population Source - Company Annual Fundamentals,POPSRC,1,co_afnd1/co_afnd2,VARCHAR2,
Accounting Standard,ACCTSTD,2,co_adesind,VARCHAR2,
Acquisition Method,ACQMETH,2,co_adesind,VARCHAR2,
ADR Ratio,ADRR,"18,4",co_adesind,NUMBER,
Adjustment Factor (Company) - Cumulative by Ex-Date,AJEX,"24,12",co_adesind,NUMBER,
Adjustment Factor (Company) - Cumulative byPay-Date,AJP,"24,12",co_adesind,NUMBER,
Actual Period End date,APDEDATE,8,co_adesind,DATE,
Balance Sheet Presentation,BSPR,2,co_adesind,VARCHAR2,
Comparability Status,COMPST,2,co_adesind,VARCHAR2,
ISO Currency Code,CURCD,3,co_adesind,VARCHAR2,
Native Currency Code,CURNCD,3,co_adesind,VARCHAR2,
Currency Translation Rate,CURRTR,"24,12",co_adesind,NUMBER,
US Canadian Translation Rate,CURUSCN,"18,4",co_adesind,NUMBER,
Final Date,FDATE,8,co_adesind,DATE,
Fiscal Year-end Month,FYR,2,co_adesind,NUMBER,
Income Statement Model Number,ISMOD,4,co_adesind,NUMBER,
OIL & GAS METHOD ,OGM,8,co_adesind,VARCHAR2,
Preliminary Date,PDATE,8,co_adesind,DATE,
Period Duration,PDDUR,2,co_adesind,NUMBER,
Cash Flow Format,SCF,4,co_adesind,NUMBER,
Source Document,SRC,4,co_adesind,NUMBER,
Status Alert,STALT,2,co_adesind,VARCHAR2,
Utility - Liberalized Depreciation Code,UDPL,8,co_adesind,VARCHAR2,
Update Code,UPD,4,co_adesind,NUMBER,
Inventory Valuation Method,INVVAL,4,co_ainvval,NUMBER,
