List of countries where companies have adopted REITs or REIT equivalent structures and are eligible to be classified in one of the REIT Sub-Industries,Unnamed: 1,Unnamed: 2
Updated in GICS definitions in February 2025,,
S. No.,Country,REITs or REIT equivalent structures
1,Australia,"Property Trust, A-REIT (formerly known as Listed Property Trust)"
2,Bahrain,REIT
3,Belgium,"SICAFI (Société d’ Investissement a Capital Fixe Immobilière), B-REIT"
4,Brazil,Fundo de Investimento Imobiliario (FII)
5,Bulgaria,"REIT, SPIC (Special Purpose Investment Company)"
6,Canada,REIT
7,Chile,Public Investment Fund (FI)
8,China,REIT
9,Costa Rica,Real Estate Investment Fund (REIF)
10,Finland,REIT
11,France,SIIC (Sociétés d’ Investissements Immobiliers Cotees)
12,Germany,G-REIT (German Real Estate Investment Trust)
13,Ghana,REIT
14,Greece,REIC (Real Estate Investment Company)
15,Hong Kong,REIT
16,Hungary,REIT
17,India,REIT
18,Indonesia,Dana Investasi Real Estat (DIRE)
19,Ireland,REIT
20,Israel,REIT
21,Italy,SIIQ (Societa di Investimento Immobiliare Quotata)
22,Japan,J-REIT (Japanese Real Estate Investment Trust)
23,Kenya,REIT
24,Korea,REIT
25,Kuwait,REIT
26,Lithuania,REIT
27,Luxembourg,"Specialised Investment Fund (SIF), Reserved Alternative Investment Fund (RAIF)"
28,Malaysia,"REIT, Property Trust Fund"
29,Mauritius,REIT
30,Mexico,FIBRA (Fideicomiso de Infraestructura y Bienes Raices)
31,Morocco,REIT
32,Netherlands,FBI (Fiscal Investment Institution/Fiscale Beleggingsinstelling)
33,New Zealand,"Listed Property Vehicle, Real Estate Investment Fund"
34,Nigeria,Real Estate Investment Scheme (REIS)
35,Oman,REIT
36,Pakistan,REIT
37,Philippines,REIT
38,Portugal,Real Estate Investment and Asset Management Company (Sociedades de Investimento e Gestão Imobiliária) or SIGI
39,Puerto Rico,REIT
40,Saudi Arabia,REIT
41,Singapore,S-REIT (Singapore Real Estate Investment Trust)
42,South Africa,"REIT, Property Trust"
43,Spain,SOCIMI (Sociedades Anonimas Cotizadas de Inversion en el Mercado Inmobiliario)
44,Sri Lanka,REIT
45,Taiwan,REIT
46,Thailand,"REIT, Property Fund"
47,Turkey,"REIC (Real Estate Investment Company), Gayrimenkul Yatirim Ortakligi"
48,United Arab Emirates,REIT
49,United Kingdom,REIT
50,United States ,REIT
51,Vietnam,Vietnam Real Estate Investment Trust (V-REIT)
52,Zimbabwe,REIT
