Summary of 2022 Census Industry Description Changes,Unnamed: 1,Unnamed: 2,Unnamed: 3
2024-09-09 00:00:00,,,
2017 Census Industry Description,2017 Census Industry Code,2022 Census Industry Description,2022 Census Industry Code 
"Agriculture, Forestry, Fishing, and Hunting, and Mining",0170-0490,"Agriculture, Forestry, Fishing and Hunting, and Mining",0170-0490
"Agriculture, Forestry, Fishing, and Hunting",0170-0290,"Agriculture, Forestry, Fishing and Hunting",0170-0290
"Water, steam, air-conditioning, and irrigation systems ",0670,"Water supply and irrigation systems, and steam and air-conditioning supply",0670
"Fabric mills, except knitting mills",1480,"Fabric mills, except knit fabric mills",1480
"Knitting fabric mills, and apparel knitting mills ",1670,"Knit fabric mills, and apparel knitting mills ",1670
Miscellaneous paper and pulp products  ,1890,Miscellaneous paper and pulp products manufacturing,1890
Petroleum refining ,2070,Petroleum refineries,2070
Miscellaneous petroleum and coal products ,2090,"Petroleum and coal products manufacturing, except petroleum refineries",2090
"Resin, synthetic rubber, and fibers and filaments manufacturing   ",2170,"Resin, synthetic rubber, and artificial and synthetic fibers and filaments manufacturing",2170
Agricultural chemical manufacturing  ,2180,"Pesticide, fertilizer, and other agricultural chemical manufacturing",2180
"Soap, cleaning compound, and cosmetics manufacturing ",2280,"Soap, cleaning compound, and toilet preparation manufacturing",2280
Industrial and miscellaneous chemicals ,2290,"Basic chemical manufacturing, and other chemical product and preparation manufacturing",2290
Miscellaneous nonmetallic mineral product manufacturing ,2590,Other nonmetallic mineral product manufacturing ,2590
Aluminum production and processing  ,2680,Alumina and aluminum production and processing,2680
Metal forgings and stampings ,2780,Forging and stamping,2780
Cutlery and hand tool manufacturing  ,2790,Cutlery and handtool manufacturing ,2790
"Structural metals, and boiler, tank, and shipping container manufacturing ",2870,"Architectural and structural metals, and boiler, tank, and shipping container manufacturing ",2870
"Electronic component and product manufacturing, n.e.c. ",3390,"Semiconductor, magnetic and optical media, and other electronic component manufacturing",3390
Aircraft and parts manufacturing,3580,"Aircraft, aircraft engine, and aircraft parts manufacturing",3580
Aerospace products and parts manufacturing ,3590,Guided missile and space vehicle and parts manufacturing,3590
"Veneer, plywood, and engineered wood products ",3780,"Veneer, plywood, and engineered wood product manufacturing ",3780
Prefabricated wood buildings and mobile homes manufacturing,3790,Manufactured home (mobile home) and prefabricated wood building manufacturing,3790
Miscellaneous wood products,3875,Miscellaneous wood product manufacturing,3875
"Metals and minerals, except petroleum, merchant wholesalers",4180,"Metal and mineral, except petroleum, merchant wholesalers    ",4180
Miscellaneous durable goods merchant wholesalers    ,4290,"Miscellaneous durable goods, except recyclable material, merchant wholesalers",4290
Paper and paper products merchant wholesalers ,4370,Paper and paper product merchant wholesalers ,4370
"Drugs, sundries, and chemical and allied products merchant  wholesalers ",4380,"Drugs, druggists' sundries, and chemical and allied products merchant  wholesalers ",4380
Alcoholic beverages merchant wholesalers ,4560,"Beer, wine, and distilled alcoholic beverage merchant wholesalers",4560
Miscellaneous nondurable goods merchant wholesalers ,4580,"Miscellaneous nondurable goods merchant, except farm supplies, wholesalers ",4580
Wholesale electronic markets and agents and brokers ,4585,Wholesale trade agents and brokers,4585
Supermarkets and other grocery (except convenience) stores,4971,Supermarkets and other grocery (except convenience) retailers,4971
Bus service and urban transit ,6180,"Transit and ground passenger transportation, except taxi and limousine service",6180
Services incidental to transportation ,6290,Support activities for transportation,6290
"Data processing, hosting, and related services",6695,"Computing infrastructure providers, data processing, web hosting, and related services",6695
Nondepository credit and related activities,6890,Nondepository credit intermediation and related activities ,6890
"Real estate property managers, offices of real estate appraisers, and other activities related to real estate ",7072,Activities related to real estate,7072
"Commercial, industrial, and other intangible assets rental and leasing",7190,"Commercial and industrial machinery and equipment, and nonfinancial intangible assets rental and leasing",7190
"Other professional, scientific, and technical services ",7490,"Other professional, scientific, and technical, except veterinary, services",7490
Services to buildings and dwellings (except cleaning during construction and immediately after construction) ,7690,"Services to buildings and dwellings, except landscaping services",7690
"Colleges, universities, and professional schools, including junior colleges ",7870,"Junior colleges, colleges, universities, and professional schools",7870
"Business, technical, and trade schools and training ",7880,"Business, trade and technical schools, and computer and management training",7880
"Community food and housing, and emergency services ",8380,"Community food and housing, and emergency and other relief services",8380
Child day care services ,8470,Child care services ,8470
"Museums, art galleries, historical sites, and similar institutions",8570,"Museums, historical sites, and similar institutions",8570
Restaurants and other food services ,8680,"Food services and drinking places, except alcoholic beverages",8680
"Drinking places, alcoholic beverages ",8690,Drinking places (alcoholic beverages),8690
Automotive repair and maintenance ,8770,"Automotive repair and maintenance, except car washes",8770
"Funeral homes, and cemeteries and crematories ",9080,Death care services ,9080
Labor unions,9180,Labor unions and similar labor organizations,9180
Administration of environmental quality and housing programs ,9490,"Administration of environmental quality, and housing programs, urban planning and community development",9490
Administration of economic programs and space research,9570,Administration of economic programs and space research and technology,9570
