gvkey,company_name,sector,sector_name,avg_MB,MB_sector_rank,MB_sector_percentile,sector_threshold_mb,market_cap,price,eps,data_source
130498,GIGAMEDIA LTD,50.0,Communication_Services,-0.3172279309850405,1.0,0.5154639175257731,0.2723572121219923,18.125279999999997,1.64,-0.06,Q1 Only
34076,EVENTBRITE INC,50.0,Communication_Services,-0.1331768115299715,2.0,1.0309278350515463,0.2723572121219923,199.67774,2.11,-0.07,Q1 Only
37562,SKILLZ INC,50.0,Communication_Services,-0.1242402146564718,3.0,1.5463917525773196,0.2723572121219923,84.60000000000001,4.5,-0.92,Q1 Only
35419,DOUYU INTERNATIONAL HOLDINGS,50.0,Communication_Services,-0.0887454223245527,4.0,2.0618556701030926,0.2723572121219923,225.43712999999997,7.47,-0.36,Q1 Only
43128,LQR HOUSE INC,50.0,Communication_Services,-0.0478600437363323,5.0,2.5773195876288657,0.2723572121219923,7.4294,0.2,-0.11,Q1 Only
179288,DALLASNEWS CORP,50.0,Communication_Services,-0.0058838633445811,6.0,3.0927835051546393,0.2723572121219923,24.40512,4.56,5.28,Q1 Only
181775,CIBL INC,50.0,Communication_Services,-0.0007197290431837,7.0,3.608247422680412,0.2723572121219923,20.1,1675.0,5.5,Q1 Only
19295,AUTOHOME INC,50.0,Communication_Services,0.0189961558384907,8.0,4.123711340206185,0.2723572121219923,3112.87284,27.72,0.39,Q1 Only
165923,PERION NETWORK LTD,50.0,Communication_Services,0.0305674792489781,9.0,4.639175257731959,0.2723572121219923,364.8755000000001,8.14,-0.19,Q1 Only
162814,GRAVITY CO LTD -ADR,50.0,Communication_Services,0.0597053856887253,10.0,5.154639175257731,0.2723572121219923,420.4145,60.5,2.15,Q1 Only
177780,COMSCORE INC,50.0,Communication_Services,0.1470741416408283,11.0,5.670103092783505,0.2723572121219923,33.75231,6.87,-1.66,Q1 Only
63987,VEON LTD,50.0,Communication_Services,0.1584640540868299,12.0,6.185567010309279,0.2723572121219923,3079.69459,43.61,1.4,Q1 Only
170421,NETWORK MEDIA GROUP INC,50.0,Communication_Services,0.162361397978041,13.0,6.701030927835052,0.2723572121219923,1.515125,0.085,0.02,Q1 Only
37061,YALLA GROUP LIMITED,50.0,Communication_Services,0.1634000869172578,14.0,7.216494845360824,0.2723572121219923,825.1253999999999,5.22,0.23,Q1 Only
106609,GLACIER MEDIA INC,50.0,Communication_Services,0.1833127474042541,15.0,7.731958762886598,0.2723572121219923,20.98112,0.16,-0.03,Q1 Only
39054,PLAYSTUDIOS INC,50.0,Communication_Services,0.1954309616763604,16.0,8.24742268041237,0.2723572121219923,159.39135,1.27,-0.02,Q1 Only
13970,TVA GROUP INC  -CL B,50.0,Communication_Services,0.2123103763635024,17.0,8.762886597938143,0.2723572121219923,36.725100000000005,0.85,-0.47,Q1 Only
50248,WEBTOON ENTERTAINMENT INC,50.0,Communication_Services,0.2312731309147043,18.0,9.278350515463918,0.2723572121219923,998.41924,7.67,-0.17,Q1 Only
28551,INTELLIGENT PROCTN MGMT CORP,50.0,Communication_Services,0.2593095253388143,19.0,9.793814432989691,0.2723572121219923,16.07238,1.74,0.06,Q1 Only
